Rank,Name,Symbol,Price (USD),Market Cap,Vol (24H),Total Vol,Chg (24H),Chg (7D),Dataset Availability
1,Bitcoin,BTC,58543,$1.12T,$37.89B,29.37%,2.47%,3.16%,TRUE
2,Ethereum,ETH,4682.28,$559.27B,$26.12B,20.24%,8.01%,9.91%,TRUE
3,Binance Coin,BNB,628.82,$105.79B,$2.65B,2.05%,1.62%,6.52%,TRUE
4,Tether,USDT,1.0009,$73.27B,$85.51B,66.27%,0.01%,-0.05%,TRUE
5,Solana,SOL,215.53,$66.17B,$2.59B,2.00%,4.18%,0.34%,TRUE
6,Cardano,ADA,1.6091,$54.01B,$1.98B,1.54%,2.57%,-9.35%,TRUE
7,XRP,XRP,1.02245,$48.58B,$3.13B,2.43%,4.73%,-2.13%,TRUE
8,USD Coin,USDC,0.9993,$38.64B,$5.04B,3.90%,-0.02%,-0.13%,TRUE
9,Polkadot,DOT,38.412,$38.32B,$1.46B,1.13%,6.82%,-4.31%,TRUE
10,Dogecoin,DOGE,0.221496,$29.57B,$2.00B,1.55%,2.96%,-2.93%,TRUE
11,Avalanche,AVAX,122.14,$27.30B,$1.51B,1.17%,10.07%,-6.87%,TRUE
12,SHIBA INU,SHIB,4.90E-05,$27.06B,$9.76B,7.57%,25.49%,15.98%,TRUE
13,Terra,LUNA,58.079,$22.88B,$2.13B,1.65%,20.77%,38.62%,TRUE
14,Crypto.com Coin,CRO,0.7133,$18.14B,$621.45M,0.48%,-4.04%,-12.58%,TRUE
15,Litecoin,LTC,215.2,$14.98B,$2.20B,1.71%,7.76%,1.75%,TRUE
16,Wrapped Bitcoin,WBTC,58808,$14.60B,$345.76M,0.27%,2.86%,1.30%,TRUE
17,Uniswap,UNI,21.4149,$13.43B,$248.65M,0.19%,7.67%,-2.19%,TRUE
18,Binance USD,BUSD,0.9991,$13.25B,$7.38B,5.72%,-0.02%,-0.11%,FALSE
19,Polygon,MATIC,1.82983,$13.01B,$1.44B,1.11%,7.51%,11.94%,TRUE
20,Chainlink,LINK,26.38,$12.36B,$1.02B,0.79%,6.05%,-2.54%,TRUE
21,Algorand,ALGO,1.8247,$11.54B,$441.94M,0.34%,1.20%,4.86%,TRUE
22,Bitcoin Cash,BCH,584.9,$11.08B,$1.27B,0.98%,2.70%,3.94%,TRUE
23,Decentraland,MANA,4.7424,$8.69B,$2.27B,1.76%,-2.56%,16.69%,TRUE
24,Stellar,XLM,0.34719,$8.52B,$778.77M,0.60%,6.37%,3.88%,TRUE
25,Axie Infinity,AXS,137.7757,$8.44B,$437.73M,0.34%,3.15%,3.26%,TRUE
26,VeChain,VET,0.123925,$8.05B,$538.72M,0.42%,5.91%,-3.22%,TRUE
27,Elrond,EGLD,396.32,$7.89B,$256.99M,0.20%,-1.97%,-20.29%,TRUE
28,Internet Computer,ICP,42.14,$7.75B,$209.00M,0.16%,1.70%,0.47%,FALSE
29,TerraUSD,UST,1.004,$7.57B,$157.64M,0.12%,0.20%,0.11%,FALSE
30,FTX Token,FTT,51.9645,$7.29B,$183.29M,0.14%,2.67%,3.09%,TRUE
31,Filecoin,FIL,55.03,$7.19B,$556.86M,0.43%,0.59%,7.80%,TRUE
