Date,Open,High,Low,Close,Volume,Currency
2019-06-27,0.01794,0.02163,0.01729,0.01939,1564289792,USD
2019-06-28,0.01939,0.02115,0.01906,0.0192,929598144,USD
2019-06-29,0.0192,0.02651,0.0192,0.02414,1788176128,USD
2019-06-30,0.02414,0.02682,0.02201,0.02215,1522535296,USD
2019-07-01,0.02216,0.0231,0.02014,0.02238,974462528,USD
2019-07-02,0.02238,0.0226,0.01956,0.02,749490880,USD
2019-07-03,0.02,0.02038,0.01864,0.0193,770702912,USD
2019-07-04,0.0193,0.0193,0.01703,0.01799,758967680,USD
2019-07-05,0.01799,0.01954,0.01761,0.01811,583770944,USD
2019-07-06,0.01811,0.0183,0.0175,0.01768,294157952,USD
2019-07-07,0.01768,0.0184,0.01713,0.01759,335931200,USD
2019-07-08,0.01759,0.01765,0.01656,0.01668,451207104,USD
2019-07-09,0.01668,0.01709,0.0152,0.01619,620069888,USD
2019-07-10,0.01619,0.0174,0.0149,0.01612,769608448,USD
2019-07-11,0.01611,0.01687,0.01421,0.01443,587049408,USD
2019-07-12,0.01443,0.01644,0.01411,0.01572,535380928,USD
2019-07-13,0.01572,0.01772,0.01524,0.01663,760034048,USD
2019-07-14,0.01663,0.01741,0.01426,0.01433,595515840,USD
2019-07-15,0.01433,0.01436,0.01291,0.01383,478714560,USD
2019-07-16,0.01383,0.01454,0.01185,0.01201,539191232,USD
2019-07-17,0.01201,0.01394,0.01164,0.01318,606953984,USD
2019-07-18,0.01318,0.01418,0.0125,0.0136,525949632,USD
2019-07-19,0.0136,0.01386,0.01319,0.01337,287402432,USD
2019-07-20,0.01337,0.01447,0.01325,0.01392,170575520,USD
2019-07-21,0.0139,0.01409,0.01314,0.01345,100129664,USD
2019-07-22,0.01345,0.01358,0.01242,0.01272,123360696,USD
2019-07-23,0.01272,0.01281,0.01147,0.0115,178759984,USD
2019-07-24,0.01151,0.01244,0.01118,0.01201,192656640,USD
2019-07-25,0.01201,0.01265,0.012,0.01218,130493704,USD
2019-07-26,0.01218,0.01297,0.0119,0.01275,137908960,USD
2019-07-27,0.01275,0.01327,0.0118,0.01202,137265696,USD
2019-07-28,0.01202,0.01215,0.01127,0.01179,98077792,USD
2019-07-29,0.01179,0.01196,0.01141,0.01142,89291312,USD
2019-07-30,0.01142,0.01166,0.01107,0.01156,76110464,USD
2019-07-31,0.01156,0.01166,0.01121,0.01138,147887280,USD
2019-08-01,0.01138,0.01154,0.01055,0.01067,199255456,USD
2019-08-02,0.01067,0.01152,0.01054,0.01108,190209568,USD
2019-08-03,0.01108,0.01132,0.01066,0.01069,178255136,USD
2019-08-04,0.01069,0.01096,0.01014,0.01022,147643296,USD
2019-08-05,0.01022,0.01281,0.00951,0.01173,838444032,USD
2019-08-06,0.01173,0.01716,0.01169,0.01534,1854531456,USD
2019-08-07,0.01534,0.02057,0.01532,0.01675,2120471680,USD
2019-08-08,0.01676,0.01762,0.01424,0.01446,1008401344,USD
2019-08-09,0.01446,0.01461,0.0121,0.01219,689874368,USD
2019-08-10,0.01219,0.01539,0.01217,0.01497,942591808,USD
2019-08-11,0.01497,0.01855,0.01411,0.01621,1329968128,USD
2019-08-12,0.0161,0.01819,0.01585,0.0169,951876480,USD
2019-08-13,0.0169,0.0172,0.01502,0.01677,735341056,USD
2019-08-14,0.01677,0.01732,0.01462,0.01478,776122880,USD
2019-08-15,0.01478,0.01564,0.01444,0.01457,403254816,USD
2019-08-16,0.01457,0.01472,0.01327,0.01332,402488480,USD
2019-08-17,0.01332,0.01468,0.01332,0.01426,341134560,USD
2019-08-18,0.01426,0.01455,0.01373,0.01392,280832544,USD
2019-08-19,0.01392,0.01588,0.0138,0.01552,503809952,USD
2019-08-20,0.01552,0.0159,0.01488,0.01568,353023744,USD
2019-08-21,0.01568,0.01595,0.01444,0.01545,397889184,USD
