Date,Open,High,Low,Close,Volume,Currency,Name
2021-05-30,304.81,337.77,291.72,325.59,4519905,USD,binance coin
2021-05-31,325.6,355.43,307.9,353.74,4966987,USD,binance coin
2021-06-01,353.63,364.16,340.56,362.39,4416769,USD,binance coin
2021-06-02,362.39,417.41,351.19,401.12,5259605,USD,binance coin
2021-06-03,401.13,432.58,391.83,427.59,5057763,USD,binance coin
2021-06-04,428.47,428.71,366.56,390.97,5923167,USD,binance coin
2021-06-05,390.68,425.57,374.62,390.09,4787971,USD,binance coin
2021-06-06,390.09,399.82,382.07,393.2,2270956,USD,binance coin
2021-06-07,393.23,406.99,354.55,358.08,3602573,USD,binance coin
2021-06-08,358.05,365.89,320.39,352.64,5994115,USD,binance coin
2021-06-09,352.54,378.44,333.69,375.29,4242394,USD,binance coin
2021-06-10,375.53,376.81,344.96,351.43,2961393,USD,binance coin
2021-06-11,351.46,365.51,341.53,345.46,2709150,USD,binance coin
2021-06-12,345.59,348.75,325.63,343.23,2545099,USD,binance coin
2021-06-13,343.26,369.0,330.64,365.83,2391924,USD,binance coin
2021-06-14,365.83,377.02,355.23,370.06,2418542,USD,binance coin
2021-06-15,370.08,379.49,363.84,366.78,1900440,USD,binance coin
2021-06-16,366.77,366.77,343.49,347.15,1888836,USD,binance coin
2021-06-17,347.14,362.36,346.18,352.64,1533072,USD,binance coin
2021-06-18,352.66,357.03,327.39,336.67,1953309,USD,binance coin
2021-06-19,336.71,344.33,331.88,334.19,1332601,USD,binance coin
2021-06-20,334.15,340.38,310.54,339.47,1993742,USD,binance coin
2021-06-21,339.09,341.52,269.45,271.8,4553758,USD,binance coin
2021-06-22,271.81,290.65,225.93,261.45,6748419,USD,binance coin
2021-06-23,261.47,309.45,251.9,296.14,4073376,USD,binance coin
2021-06-24,296.13,316.2,281.74,308.31,3115119,USD,binance coin
2021-06-25,308.57,314.08,275.62,281.13,3264136,USD,binance coin
2021-06-26,281.15,290.05,264.47,279.45,2631352,USD,binance coin
2021-06-27,279.45,291.08,270.0,290.86,1793364,USD,binance coin
2021-06-28,290.87,298.93,283.91,289.83,2158271,USD,binance coin
2021-06-29,289.85,315.04,289.27,299.88,2426735,USD,binance coin
2021-06-30,299.88,304.71,281.84,303.25,2358911,USD,binance coin
2021-07-01,303.24,303.41,281.4,287.63,1616019,USD,binance coin
2021-07-02,287.64,290.58,276.78,287.38,1175874,USD,binance coin
