Date,Open,High,Low,Close,Volume,Currency,Name
2021-05-30,34589.3,36388.6,33441.0,35652.8,104183,USD,bitcoin
2021-05-31,35644.0,37480.7,34213.2,37298.6,131700,USD,bitcoin
2021-06-01,37294.3,37850.3,35742.7,36687.6,113478,USD,bitcoin
2021-06-02,36687.7,38199.9,35981.1,37555.8,96889,USD,bitcoin
2021-06-03,37555.7,39462.3,37193.6,39187.3,106442,USD,bitcoin
2021-06-04,39191.4,39255.4,35659.9,36851.3,127708,USD,bitcoin
2021-06-05,36841.2,37887.6,34832.0,35520.0,101475,USD,bitcoin
2021-06-06,35518.7,36434.0,35265.3,35815.4,62199,USD,bitcoin
2021-06-07,35815.4,36754.6,33410.1,33578.0,119498,USD,bitcoin
2021-06-08,33574.6,34047.8,31158.1,33382.9,193535,USD,bitcoin
2021-06-09,33385.5,37517.6,32428.6,37332.2,209820,USD,bitcoin
2021-06-10,37375.2,38340.8,35824.0,36649.4,154318,USD,bitcoin
2021-06-11,36654.3,37641.1,36003.3,37314.6,109151,USD,bitcoin
2021-06-12,37334.4,37437.3,34703.3,35467.5,87725,USD,bitcoin
2021-06-13,35467.5,39321.6,34827.0,39022.9,123320,USD,bitcoin
2021-06-14,39024.1,40970.4,38769.9,40529.4,157354,USD,bitcoin
2021-06-15,40522.5,41318.0,39589.9,40156.1,117551,USD,bitcoin
2021-06-16,40148.1,40494.4,38156.4,38336.0,123516,USD,bitcoin
2021-06-17,38337.8,39529.9,37425.3,38052.0,109578,USD,bitcoin
2021-06-18,38045.5,38166.0,35198.5,35749.4,102842,USD,bitcoin
2021-06-19,35770.0,36357.3,34845.5,35513.4,105462,USD,bitcoin
2021-06-20,35510.9,36097.9,33378.0,35595.8,137483,USD,bitcoin
2021-06-21,35597.9,35708.4,31284.1,31692.0,256872,USD,bitcoin
2021-06-22,31682.7,33272.5,28901.8,32496.4,309654,USD,bitcoin
2021-06-23,32498.3,34784.3,31736.5,33674.3,173340,USD,bitcoin
2021-06-24,33678.1,35249.9,32356.7,34665.8,119250,USD,bitcoin
2021-06-25,34660.5,35490.9,31337.9,31594.0,193433,USD,bitcoin
2021-06-26,31592.1,32643.0,30206.9,32243.4,156667,USD,bitcoin
2021-06-27,32247.1,34685.5,32041.7,34678.5,148803,USD,bitcoin
2021-06-28,34682.2,35231.2,33944.9,34475.9,111999,USD,bitcoin
2021-06-29,34477.3,36590.3,34247.6,35834.7,97270,USD,bitcoin
2021-06-30,35832.6,36089.5,34126.6,35026.9,107072,USD,bitcoin
2021-07-01,35030.7,35032.7,32839.2,33543.6,27412,USD,bitcoin
2021-07-02,33542.2,33925.9,32734.6,33813.4,78929,USD,bitcoin
2021-07-03,33814.2,34909.8,33363.3,34742.8,55693,USD,bitcoin
2021-07-04,34742.8,35957.6,34740.1,35298.2,56133,USD,bitcoin
2021-07-05,35297.0,35300.5,33164.1,33687.8,88355,USD,bitcoin
2021-07-06,33688.5,35062.0,33581.7,34225.6,83628,USD,bitcoin
2021-07-07,34228.7,35036.6,33801.3,33867.8,72034,USD,bitcoin
2021-07-08,33859.4,33923.2,32146.9,32866.3,108092,USD,bitcoin
2021-07-09,32866.3,34079.2,32367.0,33797.4,67137,USD,bitcoin
2021-07-10,33797.7,34221.0,33056.8,33510.6,50942,USD,bitcoin
2021-07-11,33510.8,34580.6,33319.8,34227.7,35715,USD,bitcoin
2021-07-12,34228.3,34598.0,32662.8,33113.0,63242,USD,bitcoin
2021-07-13,33106.1,33307.7,32259.5,32728.1,60037,USD,bitcoin
2021-07-14,32727.8,33051.9,31611.2,32820.7,69557,USD,bitcoin
2021-07-15,32820.5,33157.0,31175.8,31840.5,76952,USD,bitcoin
2021-07-16,31842.3,32239.8,31062.2,31394.0,70478,USD,bitcoin
2021-07-17,31384.4,31914.8,31207.8,31518.6,58060,USD,bitcoin
2021-07-18,31517.9,32408.2,31220.6,31785.4,57005,USD,bitcoin
2021-07-19,31782.9,31887.0,30478.2,30837.2,77481,USD,bitcoin
2021-07-20,30835.4,31040.8,29310.2,29793.8,97459,USD,bitcoin
2021-07-21,29794.7,32794.6,29519.3,32131.4,118341,USD,bitcoin
2021-07-22,32131.7,32585.4,31729.4,32298.9,64869,USD,bitcoin
2021-07-23,32297.9,33605.6,32041.1,33603.3,66148,USD,bitcoin
2021-07-24,33600.5,33955.0,33412.9,33824.8,67144,USD,bitcoin
2021-07-25,34392.5,35391.1,33881.3,35391.1,65095,USD,bitcoin
2021-07-26,35392.3,40522.9,35236.7,37276.6,177626,USD,bitcoin
2021-07-27,37294.3,39455.9,36427.4,39452.0,100237,USD,bitcoin
2021-07-28,39450.4,40862.2,38883.8,40003.2,148920,USD,bitcoin
2021-07-29,40009.0,40630.7,39340.8,40001.4,75297,USD,bitcoin
2021-07-30,40001.1,42264.4,38358.4,42203.4,98452,USD,bitcoin
2021-07-31,42201.4,42285.3,41066.4,41553.7,44650,USD,bitcoin
2021-08-01,41510.0,42565.0,39556.5,39878.3,80331,USD,bitcoin
2021-08-02,39869.8,40449.0,38692.5,39168.4,74810,USD,bitcoin
2021-08-03,39167.4,39766.6,37688.2,38130.3,264,USD,bitcoin
2021-08-04,38188.4,39956.5,37556.0,39736.9,79216,USD,bitcoin
2021-08-05,39734.4,41366.3,37365.4,40867.2,130601,USD,bitcoin
2021-08-06,40868.4,43253.4,39905.4,42795.4,111929,USD,bitcoin
2021-08-07,42784.7,44697.3,42611.0,44614.2,112836,USD,bitcoin
2021-08-08,44584.9,45284.1,43314.4,43792.8,105249,USD,bitcoin
2021-08-09,43794.9,46460.7,42824.1,46284.3,117080,USD,bitcoin
2021-08-10,46281.8,46663.4,44681.2,45593.8,80549,USD,bitcoin
2021-08-11,45593.2,46736.5,45367.9,45564.3,75434,USD,bitcoin
2021-08-12,45562.3,46213.8,43814.7,44403.4,81071,USD,bitcoin
2021-08-13,44404.0,47836.0,44242.4,47809.1,75268,USD,bitcoin
2021-08-14,47809.6,48090.9,46117.2,47081.5,64292,USD,bitcoin
2021-08-15,47082.6,47344.1,45564.1,46991.3,58107,USD,bitcoin
2021-08-16,46991.6,48002.4,45672.1,45996.3,2411,USD,bitcoin
2021-08-17,45907.5,47140.6,44441.3,44691.6,84141,USD,bitcoin
2021-08-18,44691.1,46004.9,44230.0,44723.8,22357,USD,bitcoin
2021-08-19,44725.9,47012.3,43986.7,46755.9,77920,USD,bitcoin
2021-08-20,46756.7,49343.3,46646.8,49324.0,83194,USD,bitcoin
2021-08-21,49330.0,49719.1,48293.5,48875.8,18204,USD,bitcoin
2021-08-22,48870.4,49480.3,48151.0,49254.5,49319,USD,bitcoin
2021-08-23,49255.4,50498.8,49038.6,49539.7,75370,USD,bitcoin
2021-08-24,49532.5,49847.4,47623.6,47714.7,74259,USD,bitcoin
2021-08-25,47707.4,49230.2,47163.3,48994.5,63544,USD,bitcoin
2021-08-26,48994.4,49347.8,46360.4,46831.6,73788,USD,bitcoin
2021-08-27,46830.2,49142.0,46371.5,49064.3,62465,USD,bitcoin
2021-08-28,49062.8,49289.4,48428.5,48897.1,36727,USD,bitcoin
2021-08-29,48899.7,49621.7,47870.1,48777.4,47619,USD,bitcoin
2021-08-30,48777.1,48886.0,46876.9,46992.7,61675,USD,bitcoin
2021-08-31,46989.1,48217.0,46709.3,47130.4,71483,USD,bitcoin
2021-09-01,47129.2,49121.0,46533.1,48819.4,74381,USD,bitcoin
2021-09-02,48817.8,50355.3,48612.9,49274.3,80213,USD,bitcoin
2021-09-03,49269.5,51008.8,48377.3,49999.0,88080,USD,bitcoin
2021-09-04,49999.3,50534.6,49461.4,49918.4,48142,USD,bitcoin
2021-09-05,49918.7,51878.2,49492.4,51768.6,57301,USD,bitcoin
2021-09-06,51769.4,52726.2,51002.8,52672.1,69456,USD,bitcoin
2021-09-07,52674.2,52885.3,43072.4,46779.6,187558,USD,bitcoin
2021-09-08,46774.1,47316.9,44493.7,46061.4,100484,USD,bitcoin
2021-09-09,46057.6,47305.7,45609.0,46385.6,73632,USD,bitcoin
2021-09-10,46385.9,47021.6,44283.6,44842.8,75615,USD,bitcoin
2021-09-11,44844.9,45975.6,44766.6,45161.9,41577,USD,bitcoin
2021-09-12,45162.6,46386.4,44755.2,46062.3,44522,USD,bitcoin
2021-09-13,46060.8,46807.7,43463.2,44949.5,96150,USD,bitcoin
2021-09-14,44950.2,47247.6,44718.7,47077.5,65327,USD,bitcoin
2021-09-15,47070.8,48436.5,46743.9,48130.6,63397,USD,bitcoin
2021-09-16,48132.3,48480.6,47040.3,47748.0,60913,USD,bitcoin
2021-09-17,47748.2,48155.9,46788.8,47282.8,50163,USD,bitcoin
2021-09-18,47283.9,48761.0,47070.5,48306.7,43641,USD,bitcoin
2021-09-19,48299.9,48341.9,46866.6,47238.7,41984,USD,bitcoin
2021-09-20,47240.8,47323.9,42547.1,42870.6,77957,USD,bitcoin
2021-09-21,43012.3,43619.3,39646.8,40651.3,142548,USD,bitcoin
2021-09-22,40660.8,43976.7,40585.7,43551.6,93982,USD,bitcoin
2021-09-23,43550.7,44949.8,43090.1,44869.2,74538,USD,bitcoin
2021-09-24,44867.4,45112.0,40908.5,42819.9,128878,USD,bitcoin
2021-09-25,42818.7,42959.3,41714.5,42686.8,46353,USD,bitcoin
2021-09-26,42685.8,43907.3,40786.6,43203.4,69908,USD,bitcoin
2021-09-27,43200.9,44293.2,42143.9,42172.6,54123,USD,bitcoin
2021-09-28,42169.9,42758.8,40906.4,41022.3,60005,USD,bitcoin
2021-09-29,41023.1,42571.2,40815.0,41536.8,48205,USD,bitcoin
2021-09-30,41534.5,44101.2,41416.7,43823.3,64315,USD,bitcoin
2021-10-01,43824.4,48435.2,43292.9,48146.0,94662,USD,bitcoin
2021-10-02,48147.2,48306.9,47451.7,47666.9,39824,USD,bitcoin
2021-10-03,47665.4,49165.2,47123.0,48200.1,42406,USD,bitcoin
2021-10-04,48200.4,49481.7,46958.6,49227.3,66916,USD,bitcoin
2021-10-05,49229.5,51872.4,49060.1,51469.3,76629,USD,bitcoin
2021-10-06,51470.0,55676.1,50439.5,55323.2,116259,USD,bitcoin
2021-10-07,55325.2,55325.6,53476.4,53783.9,75681,USD,bitcoin
2021-10-08,53785.5,55977.9,53659.3,53914.7,64054,USD,bitcoin
2021-10-09,53924.1,55430.8,53711.7,54942.5,64651,USD,bitcoin
2021-10-10,54942.5,56432.2,54100.8,54687.7,104433,USD,bitcoin
