Date,Open,High,Low,Close,Volume,Currency,Name
2021-05-30,1.4015,1.6874,1.3517,1.5758,954144512,USD,cardano
2021-05-31,1.5757,1.749,1.528,1.74,694833216,USD,cardano
2021-06-01,1.7399,1.7779,1.657,1.7352,688486464,USD,cardano
2021-06-02,1.7352,1.8025,1.7192,1.7531,512662816,USD,cardano
2021-06-03,1.7531,1.8882,1.7171,1.8445,550629568,USD,cardano
2021-06-04,1.8443,1.8475,1.6119,1.709,777493504,USD,cardano
2021-06-05,1.7091,1.7818,1.6115,1.6581,473625568,USD,cardano
2021-06-06,1.658,1.705,1.6463,1.6755,275206272,USD,cardano
2021-06-07,1.6753,1.7409,1.5529,1.5644,65273204,USD,cardano
2021-06-08,1.5652,1.5946,1.4023,1.5851,779940736,USD,cardano
2021-06-09,1.5821,1.6329,1.484,1.6248,615749120,USD,cardano
2021-06-10,1.6249,1.6362,1.5085,1.5315,420705120,USD,cardano
2021-06-11,1.5315,1.5451,1.4193,1.436,442155104,USD,cardano
2021-06-12,1.4362,1.4923,1.3578,1.4772,566557440,USD,cardano
2021-06-13,1.4773,1.5791,1.4008,1.5586,594543168,USD,cardano
2021-06-14,1.5585,1.5934,1.5087,1.5758,495192128,USD,cardano
2021-06-15,1.5757,1.6104,1.5448,1.5565,382730976,USD,cardano
2021-06-16,1.5564,1.5747,1.4746,1.4833,385426624,USD,cardano
2021-06-17,1.4843,1.538,1.458,1.481,311279840,USD,cardano
2021-06-18,1.4809,1.4926,1.3756,1.4129,386359072,USD,cardano
2021-06-19,1.4127,1.4405,1.3838,1.3855,323496576,USD,cardano
2021-06-20,1.3856,1.4269,1.3066,1.4269,436503936,USD,cardano
2021-06-21,1.4269,1.4269,1.168,1.1757,841285184,USD,cardano
2021-06-22,1.1757,1.2625,1.001,1.152,462253184,USD,cardano
2021-06-23,1.152,1.3065,1.11,1.2506,963813248,USD,cardano
2021-06-24,1.2506,1.3973,1.2029,1.357,446000576,USD,cardano
2021-06-25,1.357,1.3958,1.2449,1.2547,943949376,USD,cardano
2021-06-26,1.2547,1.291,1.1985,1.2517,634246976,USD,cardano
2021-06-27,1.2517,1.3478,1.2413,1.3355,429632224,USD,cardano
2021-06-28,1.3363,1.3491,1.3044,1.3247,403522848,USD,cardano
2021-06-29,1.326,1.4196,1.3195,1.3712,466564896,USD,cardano
2021-06-30,1.3712,1.3984,1.2865,1.3838,472695808,USD,cardano
2021-07-01,1.3838,1.384,1.3037,1.333,356699360,USD,cardano
2021-07-02,1.333,1.3956,1.2861,1.3955,374909120,USD,cardano
2021-07-03,1.3955,1.4407,1.3588,1.4209,337745504,USD,cardano
2021-07-04,1.4209,1.4943,1.4207,1.4616,291729664,USD,cardano
2021-07-05,1.4613,1.4614,1.3784,1.4041,295330752,USD,cardano
2021-07-06,1.404,1.4566,1.3924,1.4163,231112208,USD,cardano
2021-07-07,1.4163,1.4401,1.4002,1.4038,214635056,USD,cardano
2021-07-08,1.4038,1.406,1.3294,1.3324,243364576,USD,cardano
2021-07-09,1.3324,1.3721,1.2903,1.3495,256510256,USD,cardano
2021-07-10,1.3496,1.3654,1.3183,1.3357,158185296,USD,cardano
2021-07-11,1.3353,1.3663,1.3232,1.3479,128621216,USD,cardano
2021-07-12,1.3479,1.3731,1.2922,1.3147,0,USD,cardano
2021-07-13,1.3147,1.3207,1.2507,1.2649,206077504,USD,cardano
2021-07-14,1.265,1.2887,1.1991,1.2631,263351136,USD,cardano
2021-07-15,1.2631,1.2886,1.206,1.225,235344832,USD,cardano
2021-07-16,1.2253,1.2435,1.166,1.1716,252661472,USD,cardano
2021-07-17,1.1716,1.1943,1.1507,1.1713,219877632,USD,cardano
2021-07-18,1.1713,1.2181,1.1682,1.1823,185350032,USD,cardano
2021-07-19,1.1823,1.1909,1.1167,1.1212,218335840,USD,cardano
2021-07-20,1.1223,1.1341,1.0211,1.0545,412269728,USD,cardano
2021-07-21,1.0545,1.2211,1.0372,1.1697,464721856,USD,cardano
2021-07-22,1.1697,1.2051,1.1503,1.1859,298364928,USD,cardano
2021-07-23,1.1856,1.2067,1.147,1.2054,91886688,USD,cardano
2021-07-24,1.2053,1.2237,1.1978,1.215,221735744,USD,cardano
2021-07-25,1.216,1.2361,1.1912,1.2281,181708880,USD,cardano
2021-07-26,1.2282,1.3974,1.2226,1.2552,596833536,USD,cardano
2021-07-27,1.2552,1.3151,1.215,1.2805,418432672,USD,cardano
2021-07-28,1.2804,1.3169,1.2586,1.2859,340479424,USD,cardano
2021-07-29,1.2859,1.2986,1.2588,1.2832,95202360,USD,cardano
2021-07-30,1.2837,1.3172,1.2491,1.3093,280493952,USD,cardano
2021-07-31,1.3104,1.3321,1.2896,1.3166,222179008,USD,cardano
2021-08-01,1.3178,1.3868,1.2996,1.3163,328160672,USD,cardano
2021-08-02,1.3143,1.3485,1.2961,1.3086,231975456,USD,cardano
2021-08-03,1.3086,1.3822,1.2626,1.3648,0,USD,cardano
2021-08-04,1.3648,1.393,1.3237,1.3759,325166816,USD,cardano
2021-08-05,1.3759,1.3972,1.339,1.3859,259898288,USD,cardano
2021-08-06,1.3859,1.4243,1.3622,1.4011,272049952,USD,cardano
2021-08-07,1.4011,1.4846,1.3958,1.4741,396609184,USD,cardano
2021-08-08,1.4735,1.4943,1.4077,1.4264,337150784,USD,cardano
2021-08-09,1.4262,1.4987,1.3947,1.4752,322954944,USD,cardano
2021-08-10,1.4754,1.6994,1.4576,1.6768,558565376,USD,cardano
2021-08-11,1.6776,1.8917,1.6703,1.7979,810289472,USD,cardano
2021-08-12,1.7976,1.8669,1.6808,1.8288,69987296,USD,cardano
