Date,Open,High,Low,Close,Volume,Currency,Name
2021-05-30,0.302124,0.310034,0.286698,0.301199,2350102272,USD,dogecoin
2021-05-31,0.300772,0.327625,0.293505,0.323951,2892088320,USD,dogecoin
2021-06-01,0.323958,0.381584,0.310439,0.369066,6840204288,USD,dogecoin
2021-06-02,0.369067,0.4441,0.351944,0.42313,12196912128,USD,dogecoin
2021-06-03,0.423221,0.440261,0.37731,0.399332,7340761088,USD,dogecoin
2021-06-04,0.399356,0.399609,0.34992,0.37595,6707544064,USD,dogecoin
2021-06-05,0.375948,0.392679,0.359655,0.371083,3840060416,USD,dogecoin
2021-06-06,0.371029,0.375676,0.365641,0.369287,1812396800,USD,dogecoin
2021-06-07,0.369419,0.377236,0.326892,0.329668,3309111296,USD,dogecoin
2021-06-08,0.330335,0.34016,0.296348,0.326014,4838941184,USD,dogecoin
2021-06-09,0.326036,0.352889,0.312234,0.342546,3514609664,USD,dogecoin
2021-06-10,0.342524,0.344416,0.321813,0.324914,2263249920,USD,dogecoin
2021-06-11,0.325036,0.331803,0.310883,0.316842,2011308160,USD,dogecoin
2021-06-12,0.316841,0.316841,0.299227,0.309604,1993963136,USD,dogecoin
2021-06-13,0.309628,0.326631,0.303964,0.321496,1664577280,USD,dogecoin
2021-06-14,0.321525,0.335614,0.317576,0.326031,2120709376,USD,dogecoin
2021-06-15,0.326036,0.32869,0.314971,0.318183,1693650944,USD,dogecoin
2021-06-16,0.31817,0.319177,0.302738,0.304355,1584928512,USD,dogecoin
2021-06-17,0.304353,0.310874,0.299627,0.302527,1167360640,USD,dogecoin
2021-06-18,0.302532,0.303863,0.278563,0.291253,2233950208,USD,dogecoin
2021-06-19,0.291253,0.295581,0.281212,0.281223,1125594880,USD,dogecoin
2021-06-20,0.281178,0.288347,0.254218,0.27903,2667214592,USD,dogecoin
2021-06-21,0.279146,0.280051,0.16764,0.179371,12108179456,USD,dogecoin
2021-06-22,0.179103,0.216312,0.164609,0.190348,12282156032,USD,dogecoin
2021-06-23,0.19035,0.247364,0.181047,0.234934,9453461504,USD,dogecoin
2021-06-24,0.234948,0.268676,0.222169,0.262808,5724268032,USD,dogecoin
2021-06-25,0.262855,0.288556,0.229007,0.237565,9173017600,USD,dogecoin
2021-06-26,0.237536,0.254761,0.230747,0.244672,4127340032,USD,dogecoin
2021-06-27,0.245715,0.266204,0.240106,0.263852,3116459776,USD,dogecoin
2021-06-28,0.264244,0.266409,0.249685,0.255086,2756839680,USD,dogecoin
2021-06-29,0.255102,0.273184,0.250805,0.26196,3006142720,USD,dogecoin
2021-06-30,0.261972,0.262796,0.237309,0.253155,2616098816,USD,dogecoin
2021-07-01,0.253113,0.259426,0.237295,0.243534,3477704448,USD,dogecoin
2021-07-02,0.243118,0.247206,0.237999,0.244571,1802053504,USD,dogecoin
2021-07-03,0.24459,0.24919,0.241668,0.246818,1182166272,USD,dogecoin
2021-07-04,0.246818,0.248907,0.088727,0.241031,1306936576,USD,dogecoin
2021-07-05,0.241018,0.241018,0.224828,0.230667,1790074368,USD,dogecoin
2021-07-06,0.230679,0.241535,0.228784,0.233139,1581620736,USD,dogecoin
2021-07-07,0.233139,0.236157,0.219121,0.222236,1480595840,USD,dogecoin
2021-07-08,0.222249,0.222825,0.204676,0.207422,2348106752,USD,dogecoin
2021-07-09,0.207422,0.228825,0.195927,0.219272,3708929536,USD,dogecoin
2021-07-10,0.219219,0.227071,0.209778,0.213355,1441944320,USD,dogecoin
2021-07-11,0.213362,0.218014,0.210114,0.214666,827390528,USD,dogecoin
2021-07-12,0.214899,0.217431,0.203465,0.207021,1216876544,USD,dogecoin
2021-07-13,0.207023,0.207023,0.197284,0.199354,1409099008,USD,dogecoin
2021-07-14,0.199349,0.204037,0.187339,0.197285,1951103488,USD,dogecoin
2021-07-15,0.19727,0.200281,0.179943,0.18455,1565626624,USD,dogecoin
2021-07-16,0.18457,0.187342,0.170699,0.171393,1940061184,USD,dogecoin
2021-07-17,0.171401,0.204383,0.168685,0.186148,3960636672,USD,dogecoin
2021-07-18,0.186197,0.195538,0.178217,0.179223,2182260736,USD,dogecoin
2021-07-19,0.179217,0.181502,0.169689,0.172381,1757928960,USD,dogecoin
2021-07-20,0.172386,0.17795,0.159506,0.16998,3042694656,USD,dogecoin
2021-07-21,0.169995,0.213724,0.168116,0.1902,6994361856,USD,dogecoin
2021-07-22,0.190294,0.196036,0.186305,0.190819,2194220032,USD,dogecoin
2021-07-23,0.190824,0.198995,0.183208,0.194272,2067454592,USD,dogecoin
2021-07-24,0.194342,0.198113,0.190867,0.194135,2119491456,USD,dogecoin
2021-07-25,0.189225,0.197656,0.189225,0.197533,1729305856,USD,dogecoin
2021-07-26,0.197623,0.23275,0.196598,0.203544,7231000064,USD,dogecoin
2021-07-27,0.203548,0.208467,0.194865,0.20491,3135001344,USD,dogecoin
2021-07-28,0.204922,0.212946,0.201256,0.205078,2604066304,USD,dogecoin
2021-07-29,0.205102,0.205731,0.198838,0.202081,1328087936,USD,dogecoin
2021-07-30,0.202094,0.208185,0.193864,0.207947,1973139840,USD,dogecoin
2021-07-31,0.207999,0.213619,0.204298,0.206627,1809649536,USD,dogecoin
2021-08-01,0.206723,0.216822,0.200579,0.203542,2442339840,USD,dogecoin
2021-08-02,0.203568,0.20915,0.201187,0.202657,1446307456,USD,dogecoin
