Date,Open,High,Low,Close,Volume,Currency,Name
2021-05-30,2276.97,2465.84,2181.93,2386.1,2802183,USD,ethereum
2021-05-31,2386.93,2713.98,2279.42,2708.47,2825247,USD,ethereum
2021-06-01,2707.94,2738.23,2529.73,2633.67,2451500,USD,ethereum
2021-06-02,2633.74,2801.0,2554.88,2706.1,2602968,USD,ethereum
2021-06-03,2705.05,2889.19,2666.39,2853.35,1085334,USD,ethereum
2021-06-04,2856.63,2856.63,2557.71,2686.5,2465959,USD,ethereum
2021-06-05,2688.75,2814.02,2555.98,2628.98,2554913,USD,ethereum
2021-06-06,2628.43,2743.53,2614.48,2713.66,756358,USD,ethereum
2021-06-07,2713.52,2842.88,2581.24,2592.63,3012988,USD,ethereum
2021-06-08,2592.12,2618.7,2320.64,2510.65,75179,USD,ethereum
2021-06-09,2507.86,2620.74,2408.37,2606.23,2319177,USD,ethereum
2021-06-10,2607.45,2615.46,2432.41,2469.97,1293095,USD,ethereum
2021-06-11,2470.04,2493.48,2324.21,2351.45,587182,USD,ethereum
2021-06-12,2351.45,2448.04,2260.8,2368.47,1798714,USD,ethereum
2021-06-13,2368.68,2547.9,2311.96,2508.27,1622481,USD,ethereum
2021-06-14,2508.49,2606.91,2467.61,2581.48,1789796,USD,ethereum
2021-06-15,2581.42,2637.9,2512.39,2543.83,1948603,USD,ethereum
2021-06-16,2544.35,2552.12,2353.24,2367.28,1373733,USD,ethereum
2021-06-17,2367.78,2459.11,2309.08,2371.62,1058512,USD,ethereum
2021-06-18,2372.1,2376.62,2142.74,2229.53,778792,USD,ethereum
2021-06-19,2229.53,2276.7,2164.14,2166.91,1075175,USD,ethereum
2021-06-20,2166.3,2276.83,2045.03,2243.86,1421393,USD,ethereum
2021-06-21,2244.25,2257.86,1868.32,1891.18,2693071,USD,ethereum
2021-06-22,1890.95,1994.32,1707.24,1876.66,2839822,USD,ethereum
2021-06-23,1877.28,2043.1,1823.57,1968.39,1766983,USD,ethereum
2021-06-24,1968.76,2033.96,1886.74,1989.14,1641253,USD,ethereum
2021-06-25,1989.77,2017.47,1793.47,1810.57,1648563,USD,ethereum
2021-06-26,1810.53,1850.4,1719.32,1830.62,1991985,USD,ethereum
2021-06-27,1830.42,1980.7,1808.59,1979.88,1865986,USD,ethereum
2021-06-28,1981.24,2142.84,1962.89,2083.09,2192525,USD,ethereum
2021-06-29,2083.48,2241.86,2076.17,2158.71,898056,USD,ethereum
2021-06-30,2158.32,2281.55,2090.61,2273.84,1901826,USD,ethereum
2021-07-01,2274.5,2274.63,2077.56,2109.11,1714910,USD,ethereum
2021-07-02,2108.58,2158.7,2019.75,2154.78,1394215,USD,ethereum
2021-07-03,2154.53,2236.97,2115.8,2224.7,1276896,USD,ethereum
2021-07-04,2224.7,2386.2,2222.95,2323.22,1389427,USD,ethereum
2021-07-05,2322.6,2322.6,2163.09,2196.16,822946,USD,ethereum
2021-07-06,2196.25,2347.47,2194.2,2322.72,1778485,USD,ethereum
2021-07-07,2322.74,2402.68,2296.43,2316.57,1321813,USD,ethereum
2021-07-08,2316.21,2322.47,2095.92,2120.22,1824319,USD,ethereum
2021-07-09,2120.05,2185.62,2066.09,2145.89,1420364,USD,ethereum
2021-07-10,2146.15,2191.3,2078.43,2111.12,929323,USD,ethereum
2021-07-11,2110.9,2173.34,2081.62,2139.35,724841,USD,ethereum
2021-07-12,2139.44,2167.6,2008.66,2035.09,540101,USD,ethereum
2021-07-13,2035.09,2042.61,1920.62,1940.72,717845,USD,ethereum
2021-07-14,1940.48,2017.99,1868.45,1994.64,1050506,USD,ethereum
2021-07-15,1994.73,2038.91,1884.81,1917.21,645058,USD,ethereum
2021-07-16,1917.21,1960.21,1852.42,1878.2,619618,USD,ethereum
2021-07-17,1877.0,1917.8,1851.97,1897.98,623520,USD,ethereum
2021-07-18,1898.01,1988.24,1881.6,1892.42,829767,USD,ethereum
2021-07-19,1891.43,1915.15,1807.19,1818.07,802776,USD,ethereum
2021-07-20,1818.07,1840.36,1720.7,1786.07,1196565,USD,ethereum
2021-07-21,1786.18,2029.51,1758.64,1994.49,1513133,USD,ethereum
2021-07-22,1994.61,2043.26,1952.31,2024.58,1023062,USD,ethereum
2021-07-23,2024.51,2129.66,2000.27,2123.61,961669,USD,ethereum
2021-07-24,2124.0,2162.29,2106.71,2151.85,907113,USD,ethereum
2021-07-25,2166.98,2195.03,2108.74,2189.79,786940,USD,ethereum
2021-07-26,2189.74,2430.01,2174.44,2229.53,1891029,USD,ethereum
2021-07-27,2230.24,2318.68,2152.92,2300.22,1254596,USD,ethereum
2021-07-28,2300.21,2343.49,2246.23,2299.11,968942,USD,ethereum
2021-07-29,2299.46,2397.71,2269.15,2380.93,642749,USD,ethereum
2021-07-30,2380.59,2467.4,2320.8,2460.95,1025002,USD,ethereum
2021-07-31,2461.08,2551.68,2421.7,2532.19,507081,USD,ethereum
2021-08-01,2530.94,2696.38,2515.26,2556.23,1203482,USD,ethereum
2021-08-02,2556.07,2664.73,2513.51,2608.04,970667,USD,ethereum
2021-08-03,2608.01,2631.43,2445.49,2506.65,158450,USD,ethereum
2021-08-04,2506.5,2766.46,2462.32,2725.29,1225630,USD,ethereum
2021-08-05,2725.28,2842.95,2533.51,2827.21,1654529,USD,ethereum
2021-08-06,2827.23,2946.62,2726.04,2889.43,1062616,USD,ethereum
2021-08-07,2889.58,3169.74,2867.58,3158.0,64840,USD,ethereum
2021-08-08,3158.3,3188.49,2949.66,3012.07,1247953,USD,ethereum
2021-08-09,3011.88,3184.84,2899.24,3162.93,1437881,USD,ethereum
2021-08-10,3162.81,3232.02,3057.84,3140.71,1121106,USD,ethereum
2021-08-11,3140.86,3269.7,3122.67,3163.66,950121,USD,ethereum
2021-08-12,3160.17,3236.28,2981.35,3043.61,965628,USD,ethereum
2021-08-13,3043.2,3324.53,3035.52,3322.43,795541,USD,ethereum
2021-08-14,3322.25,3328.38,3209.45,3264.69,658600,USD,ethereum
2021-08-15,3264.56,3318.61,3115.34,3308.87,782810,USD,ethereum
2021-08-16,3307.96,3334.22,3138.37,3147.65,859089,USD,ethereum
2021-08-17,3147.67,3290.03,2993.63,3014.58,1063791,USD,ethereum
2021-08-18,3012.62,3124.51,2951.04,3016.91,750740,USD,ethereum
2021-08-19,3016.92,3185.51,2962.04,3184.82,844133,USD,ethereum
2021-08-20,3184.83,3300.36,3179.18,3284.21,739315,USD,ethereum
2021-08-21,3285.12,3307.33,3200.19,3223.96,768738,USD,ethereum
2021-08-22,3224.17,3271.94,3128.98,3238.7,747649,USD,ethereum
2021-08-23,3238.41,3375.42,3231.96,3319.49,1093756,USD,ethereum
2021-08-24,3322.6,3357.99,3150.75,3173.26,988821,USD,ethereum
2021-08-25,3172.12,3247.43,3080.7,3228.15,923126,USD,ethereum
2021-08-26,3228.03,3249.62,3057.48,3093.54,118440,USD,ethereum
2021-08-27,3093.78,3279.93,3063.37,3273.58,839543,USD,ethereum
2021-08-28,3273.78,3284.58,3212.24,3243.9,466212,USD,ethereum
2021-08-29,3243.96,3282.21,3155.31,3222.16,643728,USD,ethereum
2021-08-30,3222.43,3345.72,3145.53,3225.67,966580,USD,ethereum
2021-08-31,3228.23,3467.42,3191.34,3430.74,1524946,USD,ethereum
2021-09-01,3429.65,3839.91,3384.82,3832.73,1475740,USD,ethereum
2021-09-02,3826.9,3833.89,3723.42,3786.19,928702,USD,ethereum
2021-09-03,3785.85,4024.89,3715.97,3936.29,1198186,USD,ethereum
2021-09-04,3938.45,3968.33,3844.07,3884.97,672534,USD,ethereum
2021-09-05,3885.4,3981.22,3834.74,3950.62,714159,USD,ethereum
2021-09-06,3950.2,3968.2,3867.55,3927.21,764557,USD,ethereum
2021-09-07,3926.84,3945.79,3061.3,3423.12,2465668,USD,ethereum
2021-09-08,3424.35,3557.67,3221.6,3495.1,780678,USD,ethereum
2021-09-09,3498.92,3564.3,3395.94,3423.51,1088338,USD,ethereum
2021-09-10,3423.87,3512.9,3156.28,3207.27,1206688,USD,ethereum
2021-09-11,3209.37,3345.37,3202.41,3267.33,732950,USD,ethereum
