Date,Open,High,Low,Close,Volume,Currency,Name
2021-05-30,19.856,21.236,18.973,20.459,18090552,USD,polkadot
2021-05-31,20.45,23.304,19.39,23.304,1380877,USD,polkadot
2021-06-01,23.379,23.5,21.991,22.84,19768276,USD,polkadot
2021-06-02,22.822,26.834,22.707,25.922,26297620,USD,polkadot
2021-06-03,25.93,27.996,25.76,26.971,24004232,USD,polkadot
2021-06-04,26.994,26.994,23.686,25.002,24943364,USD,polkadot
2021-06-05,25.033,26.322,22.973,23.783,15953289,USD,polkadot
2021-06-06,23.8,24.454,23.626,24.183,8984828,USD,polkadot
2021-06-07,24.178,25.28,21.689,21.689,1099056,USD,polkadot
2021-06-08,21.648,22.012,19.711,21.68,24489564,USD,polkadot
2021-06-09,21.648,23.277,20.825,23.189,19274052,USD,polkadot
2021-06-10,23.213,24.418,22.579,22.62,19534162,USD,polkadot
2021-06-11,22.673,23.089,20.529,20.952,26276000,USD,polkadot
2021-06-12,20.948,21.25,19.596,20.712,13551968,USD,polkadot
2021-06-13,20.712,22.39,19.954,22.053,10555142,USD,polkadot
2021-06-14,22.053,25.996,21.561,25.917,25345920,USD,polkadot
2021-06-15,25.876,25.971,23.953,23.953,18674776,USD,polkadot
2021-06-16,23.958,24.537,22.573,23.016,14834946,USD,polkadot
2021-06-17,23.027,23.98,22.007,22.502,10996830,USD,polkadot
2021-06-18,22.538,22.552,20.359,21.361,11359331,USD,polkadot
2021-06-19,21.361,21.616,20.244,20.244,8093916,USD,polkadot
2021-06-20,20.244,20.985,18.916,20.607,12038895,USD,polkadot
2021-06-21,20.608,20.777,15.351,15.785,29859426,USD,polkadot
2021-06-22,15.706,16.896,13.023,14.634,45533056,USD,polkadot
2021-06-23,14.678,16.289,14.678,15.788,25702314,USD,polkadot
2021-06-24,15.799,16.574,14.743,16.223,15037464,USD,polkadot
2021-06-25,16.223,16.731,14.444,14.445,16718936,USD,polkadot
2021-06-26,14.445,14.802,13.731,14.506,14639937,USD,polkadot
2021-06-27,14.501,15.002,14.038,14.992,10819905,USD,polkadot
2021-06-28,14.998,16.014,14.639,15.749,50354312,USD,polkadot
2021-06-29,15.771,17.006,15.771,16.213,16064036,USD,polkadot
2021-06-30,16.289,16.614,15.107,16.375,14201366,USD,polkadot
2021-07-01,16.41,16.41,14.862,15.2,10671929,USD,polkadot
2021-07-02,15.173,15.429,14.641,15.306,8394364,USD,polkadot
2021-07-03,15.3,15.744,15.029,15.604,150945616,USD,polkadot
2021-07-04,15.604,16.573,15.604,15.98,8829558,USD,polkadot
2021-07-05,15.988,15.988,14.845,15.226,11282920,USD,polkadot
2021-07-06,15.222,16.166,15.207,16.14,13095550,USD,polkadot
2021-07-07,16.122,17.662,16.095,16.872,19577158,USD,polkadot
2021-07-08,16.873,16.892,15.13,15.354,682609728,USD,polkadot
2021-07-09,15.354,15.907,14.869,15.669,9305682,USD,polkadot
2021-07-10,15.669,15.989,15.045,15.287,7650218,USD,polkadot
2021-07-11,15.29,15.697,15.142,15.472,5357109,USD,polkadot
2021-07-12,15.472,15.643,14.424,14.885,7954975,USD,polkadot
2021-07-13,14.841,15.096,14.023,14.192,7390882,USD,polkadot
2021-07-14,14.186,14.219,13.181,13.802,11964926,USD,polkadot
2021-07-15,13.802,14.104,12.748,13.104,12171687,USD,polkadot
2021-07-16,13.089,13.308,12.014,12.026,732887,USD,polkadot
2021-07-17,12.019,12.734,11.735,12.278,13286613,USD,polkadot
2021-07-18,12.299,12.933,12.289,12.65,10346542,USD,polkadot
2021-07-19,12.647,12.723,11.37,11.443,14188740,USD,polkadot
2021-07-20,11.454,15.309,10.378,10.969,16432181,USD,polkadot
2021-07-21,10.958,12.834,10.683,12.321,22078636,USD,polkadot
2021-07-22,12.329,13.309,11.814,13.139,9098408960,USD,polkadot
2021-07-23,13.139,13.461,12.335,13.387,14926882,USD,polkadot
2021-07-24,13.397,13.735,13.127,13.651,14507792,USD,polkadot
2021-07-25,13.388,13.75,13.091,13.75,768133,USD,polkadot
2021-07-26,13.751,15.292,13.643,13.928,27437300,USD,polkadot
2021-07-27,13.925,14.531,13.381,14.392,1279608,USD,polkadot
2021-07-28,14.366,14.754,13.948,14.523,14174013,USD,polkadot
2021-07-29,14.546,15.385,14.278,15.25,17766868,USD,polkadot
2021-07-30,15.253,15.839,14.43,15.789,13240424,USD,polkadot
2021-07-31,15.806,17.017,15.6,16.791,1306789,USD,polkadot
2021-08-01,16.791,19.88,16.569,18.43,31495256,USD,polkadot
2021-08-02,18.43,18.92,17.564,18.006,19101700,USD,polkadot
2021-08-03,18.007,18.53,16.842,17.36,16128452,USD,polkadot
2021-08-04,17.326,19.563,17.111,19.152,18445528,USD,polkadot
2021-08-05,19.146,19.45,17.882,19.121,18697692,USD,polkadot
2021-08-06,19.136,20.799,18.521,20.393,19032606,USD,polkadot
2021-08-07,20.432,21.685,20.033,20.961,17595220,USD,polkadot
2021-08-08,20.975,21.205,19.204,19.665,12651338,USD,polkadot
