Date,Open,High,Low,Close,Volume,Currency,Name
2021-02-28,13.164,15.021,13.164,15.021,510485,USD,solana
2021-03-01,15.021,15.021,14.92,15.002,380970,USD,solana
2021-03-02,15.002,15.002,13.958,13.958,586268,USD,solana
2021-03-03,13.958,14.102,13.958,14.102,546909,USD,solana
2021-03-04,14.102,14.102,13.052,13.08,565133,USD,solana
2021-03-05,13.08,13.08,12.575,12.575,553744,USD,solana
2021-03-06,12.575,13.033,12.329,13.033,517894,USD,solana
2021-03-07,13.033,13.789,13.033,13.789,576655,USD,solana
2021-03-08,13.789,13.789,13.62,13.62,531500,USD,solana
2021-03-09,13.62,14.807,13.62,14.807,561094,USD,solana
2021-03-10,14.807,14.807,14.24,14.24,554640,USD,solana
2021-03-11,14.24,16.021,14.132,16.021,574401,USD,solana
2021-03-12,16.021,16.021,14.585,14.585,553994,USD,solana
2021-03-13,14.585,15.332,14.585,15.332,575514,USD,solana
2021-03-14,15.332,15.332,14.519,14.519,559758,USD,solana
2021-03-15,14.519,14.519,14.116,14.165,552032,USD,solana
2021-03-16,14.165,14.165,13.594,13.637,579615,USD,solana
2021-03-17,13.637,14.205,13.357,14.205,408152,USD,solana
2021-03-18,14.205,14.214,14.205,14.214,293614,USD,solana
2021-03-19,14.214,14.214,14.142,14.142,287363,USD,solana
2021-03-20,14.142,14.21,14.142,14.21,286563,USD,solana
2021-03-21,14.21,14.349,14.21,14.349,281687,USD,solana
2021-03-22,14.349,15.842,14.349,14.885,271378,USD,solana
2021-03-23,14.885,14.885,14.183,14.183,284854,USD,solana
2021-03-24,14.183,14.621,13.577,13.577,278317,USD,solana
2021-03-25,13.577,13.577,12.71,12.983,282270,USD,solana
2021-03-26,12.983,14.75,12.983,14.75,281261,USD,solana
2021-03-27,14.75,16.52,14.75,16.52,278379,USD,solana
2021-03-28,16.52,17.973,16.52,17.973,277914,USD,solana
2021-03-29,17.973,18.921,17.973,18.921,292530,USD,solana
2021-03-30,18.921,20.27,18.921,19.208,291402,USD,solana
2021-03-31,19.208,19.476,19.208,19.445,287570,USD,solana
