Date,Open,High,Low,Close,Volume,Currency,Name
2021-05-30,1.0,1.0001,0.998,0.9997,406426048,USD,tether
2021-05-31,0.9992,1.0006,0.9992,1.0001,286913856,USD,tether
2021-06-01,1.0002,1.0003,0.9998,0.9998,241083872,USD,tether
2021-06-02,0.9998,1.0004,0.9998,1.0001,235135872,USD,tether
2021-06-03,1.0001,1.0006,0.9999,1.0001,217925728,USD,tether
2021-06-04,1.0001,1.0008,0.9998,1.0005,219878800,USD,tether
2021-06-05,1.0005,1.0007,1.0001,1.0005,145882848,USD,tether
2021-06-06,1.0005,1.0008,0.9999,1.0,123675200,USD,tether
2021-06-07,1.0,1.0005,0.9989,1.0003,269989344,USD,tether
2021-06-08,1.0003,1.0011,1.0001,1.0008,250493072,USD,tether
2021-06-09,1.0008,1.0015,0.9996,1.0001,439816640,USD,tether
2021-06-10,1.0,1.0005,0.9995,1.0003,213458976,USD,tether
2021-06-11,1.0003,1.0004,0.9999,1.0,160299328,USD,tether
2021-06-12,1.0,1.0008,1.0,1.0003,136443888,USD,tether
2021-06-13,1.0003,1.0007,0.9998,0.9999,143725280,USD,tether
2021-06-14,0.9999,1.0003,0.9994,1.0001,281703104,USD,tether
2021-06-15,1.0002,1.0002,0.9994,1.0,196444480,USD,tether
2021-06-16,0.9999,1.0001,0.9995,0.9998,185569424,USD,tether
2021-06-17,0.9998,1.0001,0.9996,1.0,134445888,USD,tether
2021-06-18,1.0,1.0008,1.0,1.0006,225081600,USD,tether
2021-06-19,1.0006,1.0017,1.0006,1.0013,177547296,USD,tether
2021-06-20,1.0013,1.0019,1.0009,1.001,265764384,USD,tether
2021-06-21,1.0015,1.003,1.0005,1.0017,473421632,USD,tether
2021-06-22,1.0017,1.0035,1.0011,1.0012,687517504,USD,tether
2021-06-23,1.0012,1.0021,1.0002,1.0005,312929632,USD,tether
2021-06-24,1.0005,1.001,0.9999,1.0,224728608,USD,tether
2021-06-25,1.0002,1.0004,0.9978,0.9998,829329344,USD,tether
2021-06-26,0.9998,1.0018,0.9994,1.0012,439950240,USD,tether
2021-06-27,1.0012,1.0041,1.0004,1.0006,529301952,USD,tether
2021-06-28,1.0006,1.0011,1.0003,1.0004,213352160,USD,tether
2021-06-29,1.0004,1.0008,1.0002,1.0002,225807392,USD,tether
2021-06-30,1.0002,1.0005,1.0,1.0003,273013024,USD,tether
2021-07-01,1.0004,1.0007,0.9998,1.0002,152874784,USD,tether
2021-07-02,1.0002,1.0004,1.0,1.0003,133656560,USD,tether
2021-07-03,1.0003,1.0007,1.0003,1.0003,54220936,USD,tether
2021-07-04,1.0003,1.0003,0.9998,1.0,75978408,USD,tether
2021-07-05,1.0,1.0004,0.9998,1.0003,145664288,USD,tether
2021-07-06,1.0003,1.0006,0.9999,1.0002,190219376,USD,tether
2021-07-07,1.0002,1.0008,1.0001,1.0004,154459984,USD,tether
2021-07-08,1.0004,1.0007,0.9987,0.9996,684518400,USD,tether
2021-07-09,0.9996,0.9997,0.9991,0.9994,530928448,USD,tether
2021-07-10,0.999,1.0,0.9987,0.9999,144807264,USD,tether
2021-07-11,0.9999,1.0001,0.9998,1.0,50204524,USD,tether
2021-07-12,1.0,1.0002,0.9995,0.9998,193524096,USD,tether
2021-07-13,0.9998,1.0004,0.9996,1.0002,149381152,USD,tether
2021-07-14,1.0002,1.0008,1.0001,1.0002,160646496,USD,tether
2021-07-15,1.0002,1.0006,0.9999,1.0002,191413504,USD,tether
2021-07-16,1.0002,1.001,1.0002,1.0006,146570928,USD,tether
2021-07-17,1.0006,1.0015,1.0,1.0007,236316176,USD,tether
2021-07-18,1.0007,1.001,0.9993,1.0009,161476752,USD,tether
2021-07-19,1.0009,1.0013,1.0001,1.0004,373162400,USD,tether
2021-07-20,1.0004,1.0012,1.0003,1.0004,364359744,USD,tether
2021-07-21,1.0005,1.001,1.0002,1.0003,226399536,USD,tether
2021-07-22,1.0003,1.0007,1.0002,1.0003,171651712,USD,tether
2021-07-23,1.0003,1.0008,1.0002,1.0004,128113224,USD,tether
2021-07-24,1.0004,1.0009,1.0004,1.0009,51185352,USD,tether
2021-07-25,1.0013,1.0014,1.0007,1.0008,39170516,USD,tether
2021-07-26,1.0008,1.0011,0.9999,1.0004,361315712,USD,tether
2021-07-27,1.0004,1.0009,1.0002,1.0004,225370096,USD,tether
2021-07-28,1.0004,1.0007,1.0001,1.0003,162757168,USD,tether
2021-07-29,1.0003,1.0004,1.0002,1.0002,86259136,USD,tether
2021-07-30,1.0002,1.0007,1.0002,1.0004,128757912,USD,tether
2021-07-31,1.0004,1.0004,1.0,1.0002,119185456,USD,tether
2021-08-01,0.9997,1.0006,0.9996,1.0006,241206400,USD,tether
2021-08-02,1.0006,1.0009,1.0002,1.0003,350809344,USD,tether
2021-08-03,1.0003,1.0009,1.0002,1.0003,254662816,USD,tether
2021-08-04,1.0005,1.0005,0.9999,1.0001,207911600,USD,tether
2021-08-05,1.0001,1.0006,1.0,1.0004,279759136,USD,tether
2021-08-06,1.0004,1.0005,1.0001,1.0004,175297072,USD,tether
2021-08-07,1.0004,1.0006,1.0001,1.0002,226304736,USD,tether
2021-08-08,1.0002,1.0004,0.9995,1.0001,408740128,USD,tether
2021-08-09,1.0001,1.0004,0.9998,1.0003,472105856,USD,tether
2021-08-10,1.0003,1.0005,1.0,1.0002,268392496,USD,tether
2021-08-11,1.0002,1.0005,1.0001,1.0003,290368352,USD,tether
2021-08-12,1.0,1.0006,1.0,1.0004,250591648,USD,tether
2021-08-13,1.0004,1.0008,1.0001,1.0003,361100608,USD,tether
2021-08-14,1.0003,1.0007,1.0002,1.0005,222918720,USD,tether
2021-08-15,1.0005,1.0008,1.0003,1.0007,203754720,USD,tether
2021-08-16,1.0007,1.0007,1.0001,1.0003,283016864,USD,tether
2021-08-17,1.0003,1.0008,1.0,1.0002,278944672,USD,tether
2021-08-18,1.0002,1.0005,1.0001,1.0003,252957376,USD,tether
2021-08-19,1.0003,1.0005,0.9999,1.0002,204136432,USD,tether
2021-08-20,1.0003,1.0005,0.9999,1.0004,232108144,USD,tether
2021-08-21,1.0004,1.0009,1.0002,1.0006,166217968,USD,tether
2021-08-22,1.0006,1.0008,1.0004,1.0006,130985744,USD,tether
2021-08-23,1.0006,1.0007,1.0002,1.0003,274047616,USD,tether
2021-08-24,1.0003,1.0004,0.9999,1.0003,304413600,USD,tether
2021-08-25,1.0003,1.0004,1.0,1.0002,238935968,USD,tether
2021-08-26,1.0003,1.0005,1.0,1.0003,214517456,USD,tether
2021-08-27,1.0003,1.0007,1.0001,1.0006,193539136,USD,tether
2021-08-28,1.0006,1.0007,1.0003,1.0006,65640180,USD,tether
2021-08-29,1.0006,1.0009,1.0005,1.0007,98253080,USD,tether
2021-08-30,1.0007,1.0008,1.0004,1.0004,180726192,USD,tether
2021-08-31,1.0004,1.0008,1.0002,1.0003,245986288,USD,tether
2021-09-01,1.0003,1.0006,1.0002,1.0003,282035840,USD,tether
2021-09-02,1.0002,1.0006,1.0001,1.0003,178706320,USD,tether
2021-09-03,1.0003,1.0005,1.0001,1.0002,214804896,USD,tether
2021-09-04,1.0002,1.0005,1.0001,1.0003,109413808,USD,tether
2021-09-05,1.0003,1.0006,1.0001,1.0004,164869536,USD,tether
2021-09-06,1.0003,1.001,1.0002,1.0004,212908064,USD,tether
2021-09-07,1.0004,1.0011,1.0,1.0004,481496736,USD,tether
2021-09-08,1.0004,1.0008,1.0001,1.0003,327936608,USD,tether
2021-09-09,1.0003,1.0005,1.0001,1.0002,238035904,USD,tether
2021-09-10,1.0003,1.0006,1.0,1.0002,263247808,USD,tether
2021-09-11,1.0002,1.0006,1.0002,1.0003,166657920,USD,tether
2021-09-12,1.0003,1.0005,1.0,1.0001,124808512,USD,tether
2021-09-13,1.0001,1.0005,1.0,1.0002,320929056,USD,tether
2021-09-14,1.0003,1.0006,1.0002,1.0003,195447264,USD,tether
2021-09-15,1.0003,1.0006,1.0002,1.0004,203210448,USD,tether
2021-09-16,1.0004,1.0007,1.0001,1.0003,162379440,USD,tether
2021-09-17,1.0003,1.0007,1.0001,1.0002,113806000,USD,tether
2021-09-18,1.0002,1.0006,1.0001,1.0002,65039212,USD,tether
2021-09-19,1.0002,1.0006,1.0002,1.0003,47750552,USD,tether
2021-09-20,1.0003,1.0009,0.9999,0.9999,339632064,USD,tether
2021-09-21,0.9999,1.0005,0.9999,1.0002,399938400,USD,tether
2021-09-22,1.0002,1.0007,1.0002,1.0005,245891072,USD,tether
2021-09-23,1.0005,1.0009,1.0005,1.0007,146455888,USD,tether
2021-09-24,1.0007,1.0013,1.0004,1.001,344492320,USD,tether
2021-09-25,1.0017,1.0018,1.0011,1.0013,86632256,USD,tether
2021-09-26,1.0013,1.0024,1.0008,1.0009,137210560,USD,tether
2021-09-27,1.0009,1.0013,1.0002,1.0004,182932272,USD,tether
2021-09-28,1.0004,1.0005,1.0,1.0002,204174048,USD,tether
2021-09-29,1.0002,1.0004,0.9998,1.0,181205024,USD,tether
2021-09-30,1.0,1.0002,0.9999,1.0001,179665328,USD,tether
2021-10-01,1.0002,1.0006,1.0001,1.0004,209610000,USD,tether
2021-10-02,1.0003,1.0005,1.0003,1.0004,66941608,USD,tether
2021-10-03,1.0004,1.0006,1.0003,1.0006,67091508,USD,tether
2021-10-04,1.0005,1.0005,1.0002,1.0003,203626752,USD,tether
2021-10-05,1.0004,1.0006,1.0002,1.0005,219906176,USD,tether
2021-10-06,1.0006,1.0006,1.0001,1.0004,181093488,USD,tether
2021-10-07,1.0004,1.0005,1.0001,1.0003,189760320,USD,tether
2021-10-08,1.0003,1.0004,1.0,1.0002,255444176,USD,tether
2021-10-09,1.0002,1.0004,1.0001,1.0003,81082768,USD,tether
2021-10-10,1.0003,1.0005,1.0001,1.0001,131305016,USD,tether
2021-10-11,1.0001,1.0005,0.9999,1.0001,220836944,USD,tether
2021-10-12,1.0002,1.0003,0.9999,1.0,165025056,USD,tether
2021-10-13,0.9999,1.0002,0.9997,1.0001,157582240,USD,tether
2021-10-14,1.0001,1.0002,0.9999,1.0001,188323600,USD,tether
2021-10-15,1.0001,1.0002,0.9996,0.9999,260303936,USD,tether
2021-10-16,0.9999,1.0002,0.9999,1.0,148289408,USD,tether
2021-10-17,1.0,1.0001,0.9999,1.0,111962104,USD,tether
2021-10-18,1.0,1.0001,0.9997,0.9999,370154592,USD,tether
2021-10-19,0.9999,1.0004,0.9999,1.0002,282958272,USD,tether
2021-10-20,1.0001,1.0004,1.0,1.0002,290838400,USD,tether
2021-10-21,1.0002,1.0006,0.9999,1.0,423650528,USD,tether
2021-10-22,1.0,1.0002,0.9994,0.9998,252490016,USD,tether
2021-10-23,0.9998,1.0001,0.9996,1.0,65784060,USD,tether
2021-10-24,1.0,1.0003,0.9997,0.9998,116574568,USD,tether
2021-10-25,0.9998,1.0001,0.9996,1.0,248692496,USD,tether
2021-10-26,1.0,1.0002,0.9997,0.9999,199259728,USD,tether
2021-10-27,0.9997,1.0009,0.9996,1.0006,437651200,USD,tether
2021-10-28,1.0006,1.0006,1.0,1.0003,329853632,USD,tether
2021-10-29,1.0003,1.0004,0.9999,1.0001,246267520,USD,tether
2021-10-30,1.0001,1.0006,0.9999,1.0004,124433848,USD,tether
2021-10-31,1.0004,1.0007,1.0002,1.0005,189417360,USD,tether
2021-11-01,1.0005,1.0007,1.0002,1.0005,206687328,USD,tether
2021-11-02,1.0005,1.0011,1.0002,1.0006,172851200,USD,tether
2021-11-03,1.0005,1.0009,1.0,1.0003,310264128,USD,tether
2021-11-04,1.0003,1.0008,1.0,1.0005,246904224,USD,tether
2021-11-05,1.0005,1.0009,1.0003,1.0009,207977792,USD,tether
2021-11-06,1.0009,1.0009,1.0003,1.0007,161887472,USD,tether
2021-11-07,1.0007,1.0011,1.0005,1.0007,109689808,USD,tether
2021-11-08,1.0007,1.0009,0.9998,1.0003,369939744,USD,tether
2021-11-09,1.0003,1.0005,0.9997,1.0001,270941120,USD,tether
2021-11-10,1.0001,1.0005,0.9997,1.0,435993504,USD,tether
2021-11-11,1.0,1.0005,0.9992,1.0003,303077984,USD,tether
2021-11-12,1.0003,1.0004,0.9996,1.0002,360690400,USD,tether
2021-11-13,1.0002,1.0004,1.0,1.0001,99779512,USD,tether
2021-11-14,1.0001,1.0002,0.9999,1.0001,75393000,USD,tether
2021-11-15,1.0001,1.0003,0.9998,0.9999,291604352,USD,tether
2021-11-16,0.9999,1.0012,0.9997,1.0002,492021024,USD,tether
2021-11-17,1.0002,1.001,0.9998,1.0004,310180352,USD,tether
2021-11-18,1.0004,1.0012,1.0001,1.0006,395638432,USD,tether
2021-11-19,1.0006,1.0013,1.0004,1.0009,273702240,USD,tether
2021-11-20,1.0009,1.0012,1.0006,1.0008,111529008,USD,tether
2021-11-21,1.0008,1.0013,1.0006,1.0011,102293920,USD,tether
2021-11-22,1.0011,1.0014,1.0006,1.0008,330327520,USD,tether
2021-11-23,1.0007,1.0007,0.9998,1.0003,278304672,USD,tether
2021-11-24,1.0003,1.0006,1.0002,1.0003,187491472,USD,tether
2021-11-25,1.0003,1.001,1.0003,1.0007,221763056,USD,tether
2021-11-26,1.0007,1.0014,1.0004,1.0007,265107184,USD,tether
2021-11-27,1.0007,1.0013,1.0007,1.0009,113351936,USD,tether
