Date,Open,High,Low,Close,Volume,Currency,Name
2018-12-06,1.016,1.0202,0.9964,1.0028,285492,USD,usd coin
2018-12-07,1.0036,1.0185,0.9977,1.0052,388721,USD,usd coin
2018-12-08,1.0052,1.0113,1.004,1.0053,218422,USD,usd coin
2018-12-09,1.0053,1.0119,1.0045,1.0073,140324,USD,usd coin
2018-12-10,1.0073,1.0146,1.0066,1.0079,154410,USD,usd coin
2018-12-11,1.0079,1.014,1.0078,1.0125,210872,USD,usd coin
2018-12-12,1.0113,1.0197,1.0028,1.0088,308787,USD,usd coin
2018-12-13,1.0088,1.0152,1.0044,1.0139,157286,USD,usd coin
2018-12-14,1.0139,1.0157,1.0083,1.0129,266774,USD,usd coin
2018-12-15,1.0129,1.0183,1.0107,1.0156,65106,USD,usd coin
2018-12-16,1.0156,1.0193,1.0119,1.0142,109090,USD,usd coin
2018-12-17,1.0142,1.0228,1.003,1.0109,128451,USD,usd coin
2018-12-18,1.0109,1.026,1.004,1.0093,232386,USD,usd coin
2018-12-19,1.0093,1.0093,0.9918,0.9949,201046,USD,usd coin
2018-12-20,0.9949,0.996,0.9598,0.9929,245759,USD,usd coin
2018-12-21,0.9929,1.0,0.9572,0.9833,157429,USD,usd coin
2018-12-22,0.9833,0.9859,0.9548,0.9568,67163,USD,usd coin
2018-12-23,0.9568,1.0058,0.951,1.0045,93575,USD,usd coin
2018-12-24,1.0045,1.0274,1.0035,1.0075,271332,USD,usd coin
2018-12-25,1.0075,1.0077,0.9909,0.9953,95374,USD,usd coin
2018-12-26,0.9953,1.0157,0.993,1.0112,79464,USD,usd coin
2018-12-27,1.0112,1.0178,0.9784,0.9824,77474,USD,usd coin
2018-12-28,0.9824,1.0313,0.9784,0.9864,151112,USD,usd coin
2018-12-29,0.9855,1.028,0.9822,1.0248,121503,USD,usd coin
2018-12-30,1.0248,1.0277,0.9981,1.022,122538,USD,usd coin
2018-12-31,1.022,1.0364,1.0109,1.0161,136293,USD,usd coin
2019-01-01,1.0163,1.0196,1.0066,1.0094,143586,USD,usd coin
2019-01-02,1.0094,1.0883,1.0082,1.0704,87209,USD,usd coin
2019-01-03,1.0704,1.0786,0.829,0.8521,70468,USD,usd coin
2019-01-04,0.8521,0.9686,0.766,0.9652,114574,USD,usd coin
2019-01-05,0.9652,0.9774,0.965,0.9702,127840,USD,usd coin
2019-01-06,0.9702,0.9805,0.9664,0.976,162111,USD,usd coin
2019-01-07,0.976,0.9785,0.9688,0.9689,90602,USD,usd coin
2019-01-08,0.9689,0.9689,0.9244,0.9245,86650,USD,usd coin
2019-01-09,0.9245,0.9516,0.9245,0.9516,80440,USD,usd coin
2019-01-10,0.9516,0.9975,0.9516,0.9859,210648,USD,usd coin
2019-01-11,0.9859,0.9957,0.9853,0.9903,119882,USD,usd coin
2019-01-12,0.9903,1.0139,0.972,0.973,133997,USD,usd coin
2019-01-13,0.973,0.9735,0.9557,0.9649,92148,USD,usd coin
2019-01-14,0.9649,1.0161,0.9467,0.9467,89027,USD,usd coin
2019-01-15,0.9467,0.9633,0.9296,0.9304,146908,USD,usd coin
2019-01-16,0.9304,0.9971,0.9296,0.9873,155339,USD,usd coin
2019-01-17,0.9873,0.9919,0.9846,0.9867,121170,USD,usd coin
2019-01-18,0.9867,0.9884,0.984,0.9861,162945,USD,usd coin
2019-01-19,0.9861,0.9876,0.9805,0.9824,130445,USD,usd coin
2019-01-20,0.9824,0.9888,0.9804,0.9865,161533,USD,usd coin
2019-01-21,0.9865,0.9975,0.9852,0.9975,112695,USD,usd coin
2019-01-22,0.9975,1.005,0.9836,0.9936,113821,USD,usd coin
2019-01-23,0.9936,0.9989,0.9897,0.9964,184958,USD,usd coin
2019-01-24,0.9964,0.9995,0.9898,0.9917,59268,USD,usd coin
2019-01-25,0.995,0.9976,0.9852,0.9926,91173,USD,usd coin
2019-01-26,0.9926,0.9934,0.9835,0.9883,82486,USD,usd coin
2019-01-27,0.9847,1.0055,0.9836,0.9966,105280,USD,usd coin
2019-01-28,0.9966,1.0062,0.9791,0.9994,89659,USD,usd coin
2019-01-29,0.9994,1.0165,0.9971,1.0061,100429,USD,usd coin
2019-01-30,1.0061,1.0372,1.0003,1.0244,121903,USD,usd coin
2019-01-31,1.0244,1.0382,1.0211,1.0342,110230,USD,usd coin
2019-02-01,1.0342,1.0637,1.0223,1.0505,97259,USD,usd coin
2019-02-02,1.0505,1.0733,1.0067,1.0237,102288,USD,usd coin
2019-02-03,1.0237,1.0257,1.016,1.0167,92965,USD,usd coin
2019-02-04,1.0167,1.0254,1.0137,1.0168,271691,USD,usd coin
2019-02-05,1.0166,1.0206,1.0069,1.0163,94673,USD,usd coin
2019-02-06,1.0163,1.0251,0.9454,1.0229,99237,USD,usd coin
2019-02-07,1.0229,1.0253,0.9972,1.0046,181267,USD,usd coin
2019-02-08,1.0046,1.0425,0.9985,1.0208,212377,USD,usd coin
2019-02-09,1.0208,1.0232,0.9662,0.9832,91588,USD,usd coin
2019-02-10,0.9789,1.0066,0.9705,0.9917,91035,USD,usd coin
2019-02-11,0.9895,0.9971,0.9878,0.9953,91428,USD,usd coin
2019-02-12,0.9953,1.0426,0.9887,1.0196,99899,USD,usd coin
